name;year;mileage;fuel;capacity;gearbox;price;currency
Skoda Octavia Combi 1.5 TSI 110kW Ambition Navi;2018;41153 km;Petrol;1,498 cc;Manual;7500,00;EUR
Toyota Aygo TÜV NEU;-;85000 km;Petrol;998 cc;Manual;2999,00;EUR
Mercedes Benz E 320 Avantgarde 7 zitter;1998;112500 km;Petrol;3,199 cc;Automatic;4750,00;EUR
BMW 325I;1993;55205 km;Petrol;2,493 cc;Automatic;5750,00;EUR
Ford TRANSIT/TOURNEO;2007;334039 km;Diesel;2,198 cc;Manual;4950,00;EUR
BMW 7-serie 740Le iPerformance High Executive - Ex. Minister auto! - € 29.95...;2016;210090 km;Hybrid;1,998 cc;Automatic;29950,00;EUR
Kia SORENTO 2.5;2003;256000 km;Diesel;2,497 cc;Manual;2250,00;EUR
Volkswagen Touran 1.6 FSi Business Airco;2006;254323 km;Petrol;1,598 cc;Manual;1650,00;EUR
Toyota Verso 2.0 D-4D Aspiration 7-pers. Navi/Climate;2012;217799 km;Diesel;1,998 cc;Manual;4900,00;EUR
Volkswagen Golf Variant 1.4 TSI 118kW Highline Panorama;2011;128175 km;Petrol;1,390 cc;Manual;5300,00;EUR
Mercedes Benz E 200;2002;254000 km;Diesel;2,148 cc;Manual;1250,00;EUR
Toyota AVENSIS 1.8 T27 7 PLACES/ZITTEN;2009;160000 km;Petrol;1,798 cc;Automatic;6750,00;EUR
Ford FOCUS 1.6i Futura Wagon - 7119;2004;227064 km;Petrol;1,596 cc;Manual;1250,00;EUR
Volkswagen Golf V Lim. United    Wildschaden;-;193560 km;Petrol;1,390 cc;Manual;1690,00;EUR
Volkswagen T6 Bus Multivan Generation Six 4Mot  neuer Motor;-;145000 km;Diesel;1,968 cc;Automatic;22328,00;EUR
Mercedes Benz G-klasse 400 CDI Machtige V8 Turbo diesel Young Timer;2005;197841 km;Diesel;3,996 cc;Automatic;31950,00;EUR
Opel Vectra 2.2-16V Comfort AUTOMAAT AIRCO;2002;112991 km;Petrol;2,198 cc;Automatic;3499,00;EUR
Audi A5 Sportback 2.0 TDI / XENON / ACC;2015;195613 km;Diesel;1,968 cc;Automatic;14450,00;EUR
Mazda 5 1.8 , Airco , 7 seats;2007;281244 km;Petrol;1,798 cc;Manual;1750,00;EUR
Renault Twingo 1.2 , Airco;1999;261305 km;Petrol;1,149 cc;Manual;950,00;EUR
Opel Astra 1.6 GL;1999;124409 km;Petrol;1,598 cc;Manual;1399,00;EUR
Opel Corsa 1.2-16V Business;2008;174442 km;Petrol;1,229 cc;Manual;3399,00;EUR
Alfa Romeo Giulietta 1.7 TBi Quadrifoglio Verde 240PK (climate control - cruise con...;2013;115536 km;Petrol;1,742 cc;Manual;14900,00;EUR
Fiat Panda 0.9 TwinAir Young (airco - electr. ramen - radio/cd/mp3);2014;102554 km;Petrol;964 cc;Manual;5950,00;EUR
Opel Vectra B cc , 1.6 16V;1998;264022 km;Petrol;1,598 cc;Manual;1250,00;EUR
Volkswagen GOLF 1.6 TDI BM VARIANT;2012;83639 km;Diesel;1,598 cc;Automatic;5450,00;EUR
Volkswagen TRANSPORTER 9P DSG;2013;288935 km;Diesel;1,968 cc;Automatic;6950,00;EUR
Nissan Almera 1.5 SLX , Airco;1997;260764 km;Petrol;1,498 cc;Manual;950,00;EUR
Mercedes Benz C-Klasse Lim. C 200 Kompressor Automatik / Navi;-;241000 km;Petrol;1,796 cc;Automatic;2700,00;EUR
Volkswagen Tiguan Sport & Style 4Motion;2012;160000 km;Diesel;1,968 cc;Automatic;11750,00;EUR
Audi A4 Avant, Navi, Sitzheizung, Bussines-Paket;-;190302 km;Diesel;1,968 cc;Manual;11700,00;EUR
Toyota Aygo 1.0-12V Cool;2011;198795 km;Petrol;998 cc;Manual;2850,00;EUR
Peugeot 308 CC HDi FAP 140 Premium *Ahk*PDC*Alu*;-;116000 km;Diesel;1,997 cc;Manual;6950,00;EUR
