name;year;mileage;nr_of_accidents;color_exterior;color_interior;price;currency
Nissan Sentra SV CVT;2019;14096 miles;0;black ; black ;13997,00;USD
Nissan Versa SV Sedan CVT;2019;15952 miles;1;black ; black ;10994,00;USD
Ford Fusion Hybrid SE FWD;2019;32712 miles;0;blue ; black ;14453,00;USD
Nissan Sentra SV CVT;2017;28465 miles;0;black ; black ;10995,00;USD
Nissan Sentra S CVT;2019;39702 miles;1;white ; black ;10991,00;USD
Chrysler Aspen Limited 4WD;2007;202000 miles;1;black ; black ;4995,00;USD
Nissan Rogue SV FWD;2019;33111 miles;0;white ; black ;17295,00;USD
Nissan Altima 2.5 S;2015;75500 miles;1;silver ; gray ;7879,00;USD
Honda Accord SE Sedan I4 Automatic;2012;80314 miles;0;black ; black ;8995,00;USD
Kia Soul + Automatic;2019;15474 miles;0;white ; black ;13993,00;USD
Ford Fusion Titanium AWD;2019;35039 miles;0;black ; black ;18880,00;USD
Dodge Challenger R/T RWD;2019;22070 miles;1;black ; black ;24679,00;USD
Chevrolet Malibu LT;2020;12071 miles;0;white ; black ;19889,00;USD
Ford Fusion Hybrid SE FWD;2019;69630 miles;0;white ; black ;14444,00;USD
Ford Fiesta SE Sedan;2019;18192 miles;0;silver ; unknown ;10495,00;USD
Honda Accord LX Sedan CVT;2017;25751 miles;0;gray ; black ;15254,00;USD
Dodge Journey GT AWD;2019;35244 miles;0;black ; black ;18397,00;USD
Chevrolet Equinox LT with 1LT FWD;2019;15023 miles;1;white ; gray ;15700,00;USD
Toyota Camry XLE I4 Automatic;2017;30637 miles;0;black ; black ;16198,00;USD
Ford Escape SE FWD;2017;58508 miles;0;red ; black ;13918,00;USD
HUMMER H2 SUV;2006;214563 miles;0;white ; beige ;12900,00;USD
Chevrolet Equinox LT with 1LT AWD;2017;72143 miles;0;white ; gray ;13688,00;USD
Hyundai Santa Fe SE 3.3L AWD;2017;114348 miles;0;white ; gray ;10525,00;USD
Nissan Sentra SV CVT;2019;22420 miles;0;gray ; black ;12995,00;USD
Ford Escape SE 4WD;2017;67253 miles;1;white ; black ;12995,00;USD
Ford F-150 XL SuperCrew 5.5' Box 4WD;2013;88659 miles;0;white ; unknown ;16499,00;USD
Ford Focus SE Hatchback;2014;74772 miles;0;black ; gray ;5990,00;USD
Ford Fusion SE FWD;2017;31104 miles;0;black ; black ;13985,00;USD
Dodge Grand Caravan SXT;2019;41264 miles;0;white ; black ;17014,00;USD
Hyundai Elantra GT Hatchback Automatic;2017;56289 miles;0;silver ; black ;9250,00;USD
Ford Escape SE FWD;2017;17590 miles;0;white ; black ;15850,00;USD
Ford Escape SE 4WD;2017;24023 miles;1;white ; black ;14999,00;USD
Toyota Camry LE Automatic;2019;29454 miles;0;black ; unknown ;16075,00;USD
Ford Fusion SE FWD;2016;92714 miles;0;white ; black ;8995,00;USD
Jeep Grand Cherokee Limited 4WD;2017;27802 miles;0;white ; beige ;27175,00;USD
Dodge Grand Caravan SXT;2019;34200 miles;0;silver ; black ;16597,00;USD
