name,mark,year,mileage,engine_power_kW,engine_power_hp,fuel_type,consumption_(l/100 km),ecology_(gCO2/km),gearbox,price,currency,country,engine_size,nr_of_accidents,color_exterior,color_interior,price_eur
mazda tribute,mazda,2002,188500.0,91.0,124.0,Gasoline,9.7,230.0,Manual,2400.0,EUR,Germany,0.0,,unknown,unknown,2400.0
renault megane,renault,2005,220031.0,99.0,135.0,Gasoline,8.2,196.0,Manual,2400.0,EUR,Germany,0.0,,unknown,unknown,2400.0
renault kangoo,renault,1999,122171.0,47.0,64.0,Diesel,7.5,177.0,Manual,2449.0,EUR,Germany,0.0,,unknown,unknown,2449.0
volkswagen polo,volkswagen,2005,177000.0,40.0,54.0,Gasoline,5.8,139.0,Manual,2450.0,EUR,Germany,0.0,,unknown,unknown,2450.0
audi a2,audi,2001,171000.0,55.0,75.0,Diesel,4.3,116.0,Manual,2450.0,EUR,Germany,0.0,,unknown,unknown,2450.0
volkswagen touran,volkswagen,2003,208965.0,85.0,116.0,Gasoline,7.4,175.0,Manual,2450.0,EUR,Germany,0.0,,unknown,unknown,2450.0
audi a6,audi,2006,404000.0,132.0,179.0,Diesel,,,Automatic,2490.0,EUR,Germany,0.0,,unknown,unknown,2490.0
fiat grande punto,fiat,2008,143266.0,57.0,77.0,Gasoline,5.9,139.0,Manual,2490.0,EUR,Germany,0.0,,unknown,unknown,2490.0
mazda 2,mazda,2008,196779.0,55.0,75.0,Gasoline,5.4,129.0,Manual,2490.0,EUR,Germany,0.0,,unknown,unknown,2490.0
volkswagen golf,volkswagen,2000,113980.0,55.0,75.0,Gasoline,6.8,163.0,Manual,2490.0,EUR,Germany,0.0,,unknown,unknown,2490.0
chevrolet nubira,chevrolet,2007,206050.0,80.0,109.0,LPG,,181.0,Manual,2490.0,EUR,Germany,0.0,,unknown,unknown,2490.0
volvo c70,volvo,2001,193689.0,120.0,163.0,LPG,10.6,253.0,Automatic,2490.0,EUR,Germany,0.0,,unknown,unknown,2490.0
nissan micra,nissan,2005,126381.0,59.0,80.0,Gasoline,5.9,143.0,Manual,2490.0,EUR,Germany,0.0,,unknown,unknown,2490.0
suzuki grand vitara,suzuki,2005,264000.0,80.0,109.0,Diesel,7.3,198.0,Manual,2490.0,EUR,Germany,0.0,,unknown,unknown,2490.0
citroen c8,citroen,2006,177853.0,80.0,109.0,Diesel,7.0,186.0,Manual,2490.0,EUR,Germany,0.0,,unknown,unknown,2490.0
volkswagen fox,volkswagen,2006,107300.0,40.0,54.0,Gasoline,6.2,148.0,Manual,2490.0,EUR,Germany,0.0,,unknown,unknown,2490.0
kia sportage,kia,2005,198400.0,83.0,113.0,Diesel,,,Manual,2490.0,EUR,Germany,0.0,,unknown,unknown,2490.0
citroen c3,citroen,2010,168000.0,44.0,60.0,Gasoline,6.0,137.0,Manual,2499.0,EUR,Germany,0.0,,unknown,unknown,2499.0
hyundai i10,hyundai,2010,144000.0,49.0,67.0,Gasoline,5.2,124.0,Manual,2499.0,EUR,Germany,0.0,,unknown,unknown,2499.0
